seller,seller_rank,item_sales_brl,cumulative_pct_sellers,cumulative_pct_sales
09f952a5f58d2285b0372551ae8f9b01,257,10257.5,9.2016,65.2377
0ea22c1cfbdc755f86b9b54b39c16043,258,10168.3,9.2374,65.3201
9d5a9018aee56acb367ba9c3f05d1d6a,259,10119.98,9.2732,65.4021
7b1222c3624aa89b9558b50a2594188c,260,10103.52,9.309,65.4839
cab85505710c7cb9b720bceb52b01cee,261,10086.6,9.3448,65.5656
c864036feaab8c1659f65ea4faebe1da,262,10004.4,9.3806,65.6467
056b4ada5bbc2c50cc7842547dda6b51,263,9978.5,9.4164,65.7275
ea566164622c6b439516ab18062c42cd,264,9945.58,9.4522,65.8081
5882820ef11c4c068eea0677a7a879b4,265,9925.5,9.488,65.8885
0df3984f9dfb3d49ac6366acbd3bbb85,266,9891.49,9.5238,65.9687
f262cbc1c910c83959f849465454ddd3,267,9889.43,9.5596,66.0488
06532f10282704ef4c69168b914b77be,268,9827.95,9.5954,66.1284
5343d0649eca2a983820bfe93fc4d17e,269,9819.02,9.6312,66.208
f3b80352b986ab4d1057a4b724be19d0,270,9815.1,9.667,66.2875
c66dccfb3f109511246da627dd5a2498,271,9770.75,9.7028,66.3667
7202e2ba20579a9bd1acb29e61fe71f6,272,9726.7,9.7386,66.4455
5058e8c1e82653974541e83690655b4a,273,9712.85,9.7744,66.5242
23d7c96d4a1160db1c726b248601b25a,274,9678.64,9.8102,66.6026
c9c7905cffc4ef9ff9f113554423e671,275,9678.24,9.846,66.681
c510bc1718f0f2961eaa42a23330681a,276,9644.85,9.8818,66.7592
1c5e4e49b9079480255b49d50aac1aa9,277,9624.01,9.9177,66.8371
e96498ed8daaa3e9c23f7a62da76591c,278,9619.09,9.9535,66.9151
9d4db00d65d7760644ac0c14edb5fd86,279,9614.03,9.9893,66.993
cf8ab1616079e2793aa29d524df01bb1,280,9594.0,10.0251,67.0707
d6b1ce66b035a475f00c017792ff9769,281,9567.19,10.0609,67.1482
e7df4cd29ab5abab70fb0783ddb53987,282,9538.8,10.0967,67.2255
8d956fec2e4337affcb520f56fd8cbfd,283,9429.41,10.1325,67.3019
a00824eb9093d40e589b940ec45c4eb0,284,9399.97,10.1683,67.378
1c129092bf23f28a5930387c980c0dfc,285,9393.32,10.2041,67.4542
01cf7e3d21494c41fb86034f2e714fa1,286,9369.66,10.2399,67.5301
05feb94f19d094d4b0f9281f0b1d4c99,287,9353.0,10.2757,67.6058
70c27847eca8195c983ed7e798c56743,288,9323.77,10.3115,67.6814
81a1104df0f08b59c68aa5b03cfe398e,289,9320.98,10.3473,67.7569
ef506c96320abeedfb894c34db06f478,290,9251.69,10.3831,67.8319
d71d863e5ef30d94e440c11be17dcd8f,291,9246.9,10.4189,67.9068
ce27a3cc3c8cc1ea79d11e561e9bebb6,292,9224.62,10.4547,67.9815
b499c00f28f4b7069ff6550af8c1348a,293,9217.34,10.4905,68.0562
dd7ddc04e1b6c2c614352b383efe2d36,294,9148.61,10.5263,68.1303
33a6f4b1e7cdc205511e76ba1b6e0186,295,9127.16,10.5621,68.2043
17ca9b9e9b9ef8fdb529001b49ebb50f,296,9115.13,10.5979,68.2781
bd23da7354813347129d751591d1a6e2,297,9104.8,10.6337,68.3519
3db66a856d18a9cba7c9241fc5221c50,298,9098.6,10.6695,68.4256
aaed1309374718fdd995ee4c58c9dfcd,299,9083.75,10.7053,68.4992
6c12e40690c335dbc2f68a4134d30dc1,300,9079.3,10.7411,68.5728
cb8bcce248bb1fb274ba762d8b971456,301,9053.4,10.7769,68.6461
5b8154610ebb21fb90eb587365e673df,302,9048.05,10.8127,68.7194
4e7c18b98d84e05cbae3ff0ff03846c2,303,9038.9,10.8485,68.7927
aafe36600ce604f205b86b5084d3d767,304,9031.8,10.8844,68.8658
8b28d096634035667e8263d57ba3368c,305,9025.3,10.9202,68.939
0db783cfcd3b73998abc6e10e59a102f,306,9007.4,10.956,69.0119
403aa86912527d730337ffcb0fb096ab,307,8959.89,10.9918,69.0845
4830e40640734fc1c52cd21127c341d4,308,8880.65,11.0276,69.1565
fbc14c0cf93505ef89f64665ffa4a7b5,309,8836.86,11.0634,69.2281
